date,temperature,humidity,soilMoisture,Length,Growth,Fruit_Label
"Monday,-December-25-2023-06:58:06",26.2,86,35.63,116.5666667,0.9222223,Fruit 2
"Monday,-December-25-2023-07:58:05",26.7,85,35.26,117.4888889,0.9222222,Fruit 2
"Monday,-December-25-2023-08:58:06",28,83,33.26,118.4111111,0.9222222,Fruit 2
"Monday,-December-25-2023-09:58:06",33.8,74,35.97,119.3333333,0.9222222,Fruit 2
"Monday,-December-25-2023-10:58:05",37.5,71,34.77,120.2555556,0.9222223,Fruit 2
"Monday,-December-25-2023-11:58:05",43,64,38.66,121.1777778,0.9222222,Fruit 2
"Monday,-December-25-2023-12:58:05",60.1,28,40.15,122.1,0.9222222,Fruit 2
"Monday,-December-25-2023-13:58:04",60.1,30,38.34,123.8,1.7,Fruit 2
"Monday,-December-25-2023-14:58:04",50.7,43,34.48,125.5,1.7,Fruit 2
"Monday,-December-25-2023-15:58:04",60.8,33,36.83,127.2,1.7,Fruit 2
"Monday,-December-25-2023-16:58:03",60.1,37,33.99,128.9,1.7,Fruit 2
"Monday,-December-25-2023-17:58:04",43.9,66,34.48,130.6,1.7,Fruit 2
"Monday,-December-25-2023-18:58:04",35.6,76,33.97,132.3,1.7,Fruit 2
"Monday,-December-25-2023-19:58:03",31.3,79,38.29,133.5466667,1.2466667,Fruit 2
"Monday,-December-25-2023-20:58:03",28.9,80,36.92,134.7933333,1.2466666,Fruit 2
"Monday,-December-25-2023-21:58:03",28.9,78,38.1,136.04,1.2466667,Fruit 2
"Monday,-December-25-2023-22:58:02",28.1,77,36.92,137.2866667,1.2466667,Fruit 2
"Monday,-December-25-2023-23:58:03",27.6,78,36.8,138.5333333,1.2466666,Fruit 2
"Tuesday,-December-26-2023-00:58:03",27.6,77,36.14,139.78,1.2466667,Fruit 2
"Tuesday,-December-26-2023-01:58:02",27.6,78,36.31,141.0266667,1.2466667,Fruit 2
"Tuesday,-December-26-2023-02:58:02",27.7,77,36.09,142.2733333,1.2466666,Fruit 2
"Tuesday,-December-26-2023-03:58:02",27.6,78,36,143.52,1.2466667,Fruit 2
"Tuesday,-December-26-2023-04:58:01",27.2,78,35.53,144.7666667,1.2466667,Fruit 2
"Tuesday,-December-26-2023-05:58:01",27.6,77,35.75,146.0133333,1.2466666,Fruit 2
"Tuesday,-December-26-2023-06:58:01",27.6,77,36.29,147.26,1.2466667,Fruit 2
"Tuesday,-December-26-2023-07:58:01",26.7,78,35.41,148.5066667,1.2466667,Fruit 2
"Tuesday,-December-26-2023-08:58:01",28,75,35.29,149.7533333,1.2466666,Fruit 2
"Tuesday,-December-26-2023-09:58:01",32.4,70,32.8,151,1.2466667,Fruit 2
"Tuesday,-December-26-2023-11:11:31",41.6,55,34.53,152.2,1.2,Fruit 2
"Tuesday,-December-26-2023-12:11:31",48.2,46,33.33,153.4,1.2,Fruit 2
